Source,CH2,CH4
Second,Volt,Volt
-0.00006847500,-0.20000,3.04000
-0.00006847000,0.00,3.12000
-0.00006846500,0.20000,3.12000
-0.00006846000,0.00,3.12000
-0.00006845500,0.00,3.12000
-0.00006845000,0.00,3.12000
-0.00006844500,0.00,3.12000
-0.00006844000,0.00,3.04000
-0.00006843500,-0.20000,3.12000
-0.00006843000,0.00,3.12000
-0.00006842500,0.00,3.12000
-0.00006842000,0.00,3.12000
-0.00006841500,0.20000,3.04000
-0.00006841000,0.20000,3.12000
-0.00006840500,0.00,3.12000
-0.00006840000,0.00,3.12000
-0.00006839500,-0.20000,3.12000
-0.00006839000,0.00,3.12000
-0.00006838500,0.00,3.12000
-0.00006838000,0.00,2.96000
-0.00006837500,0.00,3.04000
-0.00006837000,0.00,3.12000
-0.00006836500,0.00,3.12000
-0.00006836000,0.20000,3.04000
-0.00006835500,0.00,3.20000
-0.00006835000,0.00,3.12000
-0.00006834500,0.00,3.04000
-0.00006834000,0.00,3.04000
-0.00006833500,0.00,3.04000
-0.00006833000,0.00,3.12000
-0.00006832500,-0.20000,3.12000
-0.00006832000,0.00,3.04000
-0.00006831500,0.00,3.12000
-0.00006831000,0.00,3.04000
-0.00006830500,0.00,3.12000
-0.00006830000,0.20000,3.12000
-0.00006829500,0.00,3.12000
-0.00006829000,0.20000,3.12000
-0.00006828500,0.00,3.12000
-0.00006828000,0.00,3.12000
-0.00006827500,0.00,3.12000
-0.00006827000,0.20000,3.12000
-0.00006826500,0.00,3.12000
-0.00006826000,0.00,3.04000
-0.00006825500,0.00,3.12000
-0.00006825000,0.20000,3.12000
-0.00006824500,0.00,3.12000
-0.00006824000,0.20000,3.12000
-0.00006823500,0.00,3.12000
-0.00006823000,0.00,3.12000
-0.00006822500,0.00,3.20000
-0.00006822000,0.00,3.12000
-0.00006821500,0.00,3.12000
-0.00006821000,0.20000,3.12000
-0.00006820500,0.00,3.12000
-0.00006820000,0.20000,3.12000
-0.00006819500,0.00,3.12000
-0.00006819000,0.20000,3.12000
-0.00006818500,0.00,3.12000
-0.00006818000,0.00,3.12000
-0.00006817500,0.00,2.96000
-0.00006817000,0.00,3.12000
-0.00006816500,0.00,3.12000
-0.00006816000,0.00,3.20000
-0.00006815500,0.00,3.12000
-0.00006815000,0.00,3.20000
-0.00006814500,0.00,3.12000
-0.00006814000,0.00,3.12000
-0.00006813500,0.00,3.04000
-0.00006813000,0.20000,3.20000
-0.00006812500,0.20000,3.04000
-0.00006812000,0.00,3.04000
-0.00006811500,0.00,3.12000
-0.00006811000,0.00,3.12000
-0.00006810500,0.00,3.12000
-0.00006810000,0.20000,3.04000
-0.00006809500,0.00,3.04000
-0.00006809000,0.00,3.04000
-0.00006808500,0.00,3.20000
-0.00006808000,0.20000,3.12000
-0.00006807500,0.00,3.12000
-0.00006807000,0.00,3.12000
-0.00006806500,0.00,3.04000
-0.00006806000,0.20000,3.04000
-0.00006805500,0.00,3.12000
-0.00006805000,0.00,3.12000
-0.00006804500,0.00,3.12000
